model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
qwen36-35b-fp8,pp2048,9250.63394325741,777.9637647666483,9250.63394325741,777.9637647666483,,,,,225.23287499989237,7.152875993200705,192.52282666620886,7.152875993200705,225.23287499989237,7.152875993200705
qwen36-35b-fp8,tg1024,134.53648074229838,0.8222177649132041,134.53648074229838,0.8222177649132041,142.0,0.6324555320336759,142.0,0.6324555320336759,,,,,,
qwen36-35b-fp8,pp2048 @ d4096,9240.749795603679,59.65059584305565,9240.749795603679,59.65059584305565,,,,,592.1151579997968,13.107539378141533,559.4051096661133,13.107539378141533,592.1151579997968,13.107539378141533
qwen36-35b-fp8,tg1024 @ d4096,135.0526803142688,1.3528762901105782,135.0526803142688,1.3528762901105782,140.4,0.4898979485566356,140.4,0.4898979485566356,,,,,,
qwen36-35b-fp8,pp2048 @ d8192,8879.968538707517,37.445320055344595,8879.968538707517,37.445320055344595,,,,,1001.844536399767,12.274943069213402,969.1344880660836,12.274943069213402,1001.844536399767,12.274943069213402
qwen36-35b-fp8,tg1024 @ d8192,134.80765099299242,0.35474696845240195,134.80765099299242,0.35474696845240195,137.4,0.4898979485566356,137.4,0.4898979485566356,,,,,,
qwen36-35b-fp8,pp2048 @ d16384,8886.88991005194,25.92594575348031,8886.88991005194,25.92594575348031,,,,,1770.0131347999559,20.33600831315706,1737.3030864662724,20.33600831315706,1770.8034669998597,20.2876128412076
qwen36-35b-fp8,tg1024 @ d16384,132.12424165369526,0.4112891200608236,132.12424165369526,0.4112891200608236,135.0,0.0,135.0,0.0,,,,,,
qwen36-35b-fp8,pp2048 @ d32768,8330.49182806539,18.520001716893017,8330.49182806539,18.520001716893017,,,,,3554.9596041999393,20.03120707704805,3522.249555866256,20.03120707704805,3556.1638283996217,20.00475043791889
qwen36-35b-fp8,tg1024 @ d32768,127.86447635475231,0.5163842213253274,127.86447635475231,0.5163842213253274,130.8,0.4,130.8,0.4,,,,,,
